title;description;deadline;completed;duration;importance;hatelevel
Other specified injury of brachial artery, right side, initial encounter;Poisoning by, adverse effect of and underdosing of antipruritics;;True;45285;3;0
Displaced fracture of navicular [scaphoid] of right foot, subsequent encounter for fracture with routine healing;Other disorders of iron metabolism;;False;81747;3;3
Fatigue fracture of vertebra, site unspecified, sequela of fracture;Poisoning by, adverse effect of and underdosing of emetics;2023-08-09T00:00:00.0000000+02:00;True;45375;4;3
Type 2 diabetes mellitus with foot ulcer;Other and unspecified malignant neoplasm of skin of other and unspecified parts of face;;True;50211;0;2
Corrosion of unspecified degree of right axilla;Longitudinal reduction defect of unspecified radius;;True;51529;0;2
Frequency of micturition;Laceration of blood vessel of left thumb, initial encounter;;True;34420;2;4
Sequelae of unspecified infectious and parasitic disease;Other specified intracranial injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, sequela;2024-08-08T00:00:00.0000000+02:00;True;26043;1;3
Other specified fracture of right ischium, subsequent encounter for fracture with delayed healing;Leakage of unspecified vascular graft;2024-05-05T00:00:00.0000000+02:00;True;57766;0;3
Left upper quadrant abdominal swelling, mass and lump;Nondisplaced Rolando's fracture, right hand, subsequent encounter for fracture with malunion;2024-10-01T00:00:00.0000000+02:00;False;44067;4;0
Maternal care for other malpresentation of fetus, fetus 4;Corrosion of first degree of right hand, unspecified site, initial encounter;2024-09-02T00:00:00.0000000+02:00;True;47755;2;1
Neuromuscular scoliosis, lumbar region;Smith's fracture of right radius, subsequent encounter for open fracture type I or II with delayed healing;;False;55741;4;0
Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 5;2024-11-03T00:00:00.0000000+01:00;True;53007;1;0
Term delivery with preterm labor, unspecified trimester, not applicable or unspecified;Displaced fracture of base of other metacarpal bone, subsequent encounter for fracture with nonunion;;True;22449;3;0
Military operations involving intentional restriction of air and airway, civilian, subsequent encounter;Unspecified subluxation of right middle finger, subsequent encounter;2023-04-11T00:00:00.0000000+02:00;True;30015;1;0
Glaucoma secondary to eye trauma, left eye, indeterminate stage;Other hypothermia of newborn;;False;54947;3;2
Pedal cycle driver injured in collision with unspecified motor vehicles in nontraffic accident, sequela;Poisoning by unspecified systemic antibiotic, undetermined, subsequent encounter;;True;58791;3;2
Unspecified fracture of left patella;Dislocation of unspecified interphalangeal joint of right index finger, subsequent encounter;;True;7334;2;2
Unspecified maternal hypertension;Underdosing of coronary vasodilators, subsequent encounter;;False;26783;0;0
Circumvallate placenta, unspecified trimester;Nondisplaced transverse fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion;;False;64533;1;1
Complete traumatic amputation of left breast, sequela;Breakdown (mechanical) of internal fixation device of bone of right forearm, subsequent encounter;2024-01-09T00:00:00.0000000+01:00;False;81114;3;0
Recurrent isolated sleep paralysis;Displaced fracture of left radial styloid process, subsequent encounter for open fracture type I or II with delayed healing;2024-08-06T00:00:00.0000000+02:00;True;49016;4;1
Unspecified sprain of left elbow, subsequent encounter;Age-related osteoporosis with current pathological fracture, lower leg;;True;45930;2;2
Person on outside of snowmobile injured in traffic accident;Inflammation (infection) of postprocedural bleb, stage 1;2024-11-01T00:00:00.0000000+01:00;True;67695;3;4
Cardiac arrest of newborn;Displaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with delayed healing;2024-02-01T00:00:00.0000000+01:00;False;70165;4;4
Iliofemoral ligament sprain of unspecified hip;Embolism due to vascular prosthetic devices, implants and grafts, initial encounter;2024-10-08T00:00:00.0000000+02:00;True;77295;2;0
Toxic effect of mercury and its compounds, assault, subsequent encounter;Pathological fracture in other disease, unspecified hand;2024-06-08T00:00:00.0000000+02:00;True;52641;4;3
Infection and inflammatory reaction due to internal fixation device of left tibia, sequela;Corrosion of unspecified degree of unspecified shoulder, subsequent encounter;;True;48412;1;4
Endocarditis in systemic lupus erythematosus;Atheroembolism of left lower extremity;2024-10-01T00:00:00.0000000+02:00;True;30129;0;1
Salter-Harris Type IV physeal fracture of left calcaneus, initial encounter for closed fracture;Poisoning by other narcotics, undetermined, sequela;2024-10-02T00:00:00.0000000+02:00;True;56686;3;3
Ileus, unspecified;Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion;2023-08-09T00:00:00.0000000+02:00;True;44089;3;3
21 weeks gestation of pregnancy;Corrosion of first degree of left scapular region, initial encounter;;False;31754;3;0
Displaced fracture of lateral malleolus of left fibula, subsequent encounter for open fracture type I or II with malunion;Retained foreign body in left lower eyelid;2024-07-01T00:00:00.0000000+02:00;True;4833;3;1
Pathological fracture in neoplastic disease, ankle and foot;Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with routine healing;;True;45202;3;2
Other specified type of carcinoma in situ of breast;Activity, caregiving, bathing;;True;391;0;3
Contaminated medical or biological substance, transfused or infused;Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity, sequela;2024-07-08T00:00:00.0000000+02:00;True;15288;3;4
Other specified injury of other blood vessels at hip and thigh level, right leg, subsequent encounter;Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with routine healing;2024-02-09T00:00:00.0000000+01:00;False;18548;1;0
Strain of muscle and tendon of head, sequela;Barton's fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;2024-12-03T00:00:00.0000000+01:00;False;49990;4;2
Contusion of ureter, initial encounter;Drowning and submersion due to sailboat overturning, initial encounter;2024-08-08T00:00:00.0000000+02:00;True;76431;3;2
Other cervical disc disorders, unspecified cervical region;Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela;2024-12-02T00:00:00.0000000+01:00;True;84353;2;4
Other physeal fracture of upper end of radius, left arm, subsequent encounter for fracture with delayed healing;Other marginal perforations of tympanic membrane;;False;23763;3;4
Unspecified subluxation of left middle finger, sequela;Assault by unspecified firearm discharge;2024-11-07T00:00:00.0000000+01:00;False;37012;0;4
Syphilitic endocarditis;Diverticulitis of large intestine without perforation or abscess with bleeding;2023-04-10T00:00:00.0000000+02:00;False;5840;3;1
Major contusion of spleen, subsequent encounter;Displaced fracture of unspecified tibial tuberosity, subsequent encounter for closed fracture with nonunion;2024-01-09T00:00:00.0000000+01:00;False;54274;2;1
Other osteoporosis with current pathological fracture, left forearm, sequela;Panniculitis, unspecified;2024-07-07T00:00:00.0000000+02:00;False;69212;2;1
Driver of dune buggy injured in traffic accident, subsequent encounter;Car driver injured in collision with pick-up truck in traffic accident, initial encounter;;False;15207;4;4
Person boarding or alighting a car injured in collision with van, initial encounter;Body mass index (BMI) 25.0-25.9, adult;;False;33542;3;3
Driver of bus injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter;Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter;2023-10-11T00:00:00.0000000+02:00;True;15628;1;4
Nondisplaced transverse fracture of left acetabulum, subsequent encounter for fracture with delayed healing;Driver of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident, sequela;;True;70390;3;3
Open wound of trachea;Other injury of extensor muscle, fascia and tendon of right index finger at forearm level, subsequent encounter;;True;55104;3;1
Laceration with foreign body of left cheek and temporomandibular area;Explosion on board unspecified watercraft;;True;83183;4;1
Displaced fracture of proximal third of navicular [scaphoid] bone of unspecified wrist;Major laceration of unspecified external jugular vein, sequela;;True;51890;2;2
Strain of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, sequela;Erysipeloid;;False;86166;4;4
Struck by other marine mammals, initial encounter;Exposure of other prosthetic materials into organ or tissue, subsequent encounter;;False;60502;1;1
Underdosing of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics;Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident;2023-09-10T00:00:00.0000000+02:00;False;13450;1;0
Complete traumatic amputation of one unspecified lesser toe, initial encounter;Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H);;True;39791;0;1
Adverse effect of antidiarrheal drugs, sequela;Contusion of left lesser toe(s) with damage to nail, initial encounter;2023-12-10T00:00:00.0000000+01:00;True;24394;2;3
Injury of other nerves at wrist and hand level of unspecified arm, initial encounter;Subluxation complex (vertebral) of lumbar region;2024-03-08T00:00:00.0000000+01:00;False;81752;0;2
Monteggia's fracture of unspecified ulna, subsequent encounter for closed fracture with malunion;Crohn's disease of both small and large intestine with unspecified complications;2023-08-09T00:00:00.0000000+02:00;True;74142;2;1
Complete traumatic amputation at level between knee and ankle, right lower leg, subsequent encounter;Injury of internal jugular vein;;True;83842;3;4
Laceration without foreign body of right ring finger with damage to nail, initial encounter;Fracture of radial styloid process;;True;34399;3;1
Other congenital malformations of skull and face bones;Segmental and somatic dysfunction;;False;75388;3;0
Underdosing of antiparkinsonism drugs and other central muscle-tone depressants, sequela;Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident;2023-12-12T00:00:00.0000000+01:00;True;75165;0;4
Body mass index (BMI) 34.0-34.9, adult;Torus fracture of upper end of left tibia, subsequent encounter for fracture with routine healing;;False;51448;4;1
Displaced avulsion fracture (chip fracture) of right talus, subsequent encounter for fracture with nonunion;Nondisplaced transcondylar fracture of right humerus, initial encounter for closed fracture;;True;86037;1;2
Other and unspecified encephalopathy;Puncture wound without foreign body of right index finger without damage to nail, subsequent encounter;;False;35301;0;1
Other fracture of upper end of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC;Siderosis of eye, right eye;2024-11-01T00:00:00.0000000+01:00;False;51970;3;0
Fall down embankment (hill), sequela;Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture;;True;17852;2;2
Burn of third degree of right scapular region, sequela;Blister (nonthermal) of right ring finger, sequela;2024-06-03T00:00:00.0000000+02:00;False;63031;3;1
Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion;Dislocation of interphalangeal joint of right lesser toe(s), sequela;;False;53400;4;1
Obstructed labor due to malposition and malpresentation, unspecified, fetus 2;Benign neoplasm of other specified urinary organs;;True;43627;3;3
Lacrimal gland dislocation, unspecified lacrimal gland;Laceration of descending [left] colon, sequela;2024-06-04T00:00:00.0000000+02:00;False;74957;1;3
Striking against sports equipment with subsequent fall, sequela;Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing;2024-01-07T00:00:00.0000000+01:00;True;10213;4;2
Airport as the place of occurrence of the external cause;Unspecified injury of esophagus (thoracic part), subsequent encounter;2024-04-03T00:00:00.0000000+02:00;False;64822;2;3
Superficial foreign body of left index finger, subsequent encounter;Wedge compression fracture of T7-T8 vertebra, initial encounter for open fracture;2024-09-07T00:00:00.0000000+02:00;False;59061;0;3
Nondisplaced fracture of lateral condyle of right humerus, sequela;Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye;;False;52907;4;0
Salter-Harris Type I physeal fracture of lower end of left femur, initial encounter for closed fracture;Strain of left Achilles tendon, sequela;;False;27044;1;2
Carcinoma in situ of bladder;Assault by paintball gun discharge, sequela;2024-09-01T00:00:00.0000000+02:00;False;53777;3;2
Ischiocapsular ligament sprain of unspecified hip, initial encounter;Sprain of ribs and sternum;;True;82222;1;2
Scrotal varices;Subluxation of metacarpophalangeal joint of right thumb, sequela;;False;8548;2;2
Contact with and (suspected) exposure to environmental pollution and hazards in the physical environment;Other biomechanical lesions of pelvic region;;False;73432;1;0
Blister (nonthermal) of unspecified hand, initial encounter;Unspecified occupant of three-wheeled motor vehicle injured in collision with unspecified motor vehicles in traffic accident;2024-11-08T00:00:00.0000000+01:00;False;6948;4;0
Salter-Harris Type I physeal fracture of upper end of humerus, left arm, subsequent encounter for fracture with delayed healing;Dysphasia following other cerebrovascular disease;2023-02-12T00:00:00.0000000+01:00;False;25173;3;3
Unspecified fracture of upper end of right humerus, sequela;Abuse of laxatives;;True;60351;0;3
Toxic effect of harmful algae and algae toxins, intentional self-harm, sequela;Corrosion of second degree of multiple sites of unspecified lower limb, except ankle and foot, sequela;;True;14829;4;2
Encounter for suspected fetal anomaly ruled out;Unspecified open wound of lower back and pelvis without penetration into retroperitoneum, sequela;2023-05-10T00:00:00.0000000+02:00;False;14744;1;1
Spontaneous rupture of other tendons, unspecified shoulder;Nondisplaced subtrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;;True;64570;0;3
Allergy, unspecified;Cowpox;;True;58274;4;4
Hypertrophy of bone, left shoulder;Toxic effect of contact with other jellyfish, accidental (unintentional), subsequent encounter;;True;46216;4;4
Corrosion of first degree of female genital region, sequela;Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with nonunion;2023-04-12T00:00:00.0000000+02:00;False;14868;2;0
Neuroma of amputation stump;Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter;2024-12-02T00:00:00.0000000+01:00;False;54005;2;2
Pervasive developmental disorders;Traumatic rupture of unspecified ulnar collateral ligament;2024-07-07T00:00:00.0000000+02:00;True;7095;3;0
Maxillary fracture, right side;Other psychoactive substance dependence with other psychoactive substance-induced disorders;;True;26677;0;1
Corrosion of first degree of unspecified site of unspecified lower limb, except ankle and foot;Stress fracture, unspecified humerus, sequela;;False;79818;4;2
Nondisplaced bicondylar fracture of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion;Open bite of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, subsequent encounter;2023-10-11T00:00:00.0000000+02:00;True;30462;0;0
Displaced fracture of neck of scapula, unspecified shoulder;Nondisplaced fracture of body of unspecified calcaneus, subsequent encounter for fracture with nonunion;;False;68811;3;0
Secondary malignant neoplasm of other specified sites;Malignant neoplasm of right conjunctiva;2024-01-04T00:00:00.0000000+01:00;True;57446;2;1
Listeriosis;Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;;True;36211;4;4
Chronic bullous disease of childhood;Rhabdomyolysis;;True;45714;1;3
Toxic effect of detergents;Chorioretinal scars after surgery for detachment;2024-02-02T00:00:00.0000000+01:00;False;67825;2;4
Therapeutic (nonsurgical) and rehabilitative gastroenterology and urology devices associated with adverse incidents;Arcus senilis;;True;55002;2;4
Unspecified injury of right external jugular vein, initial encounter;Minor laceration of left innominate or subclavian vein, sequela;;True;42988;1;2
Encounter for screening for infectious and parasitic diseases, unspecified;Unspecified open wound, left thigh, subsequent encounter;2024-06-03T00:00:00.0000000+02:00;True;68647;1;1
Salter-Harris Type II physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with nonunion;Partial traumatic amputation of unspecified foot at ankle level;;False;6743;4;4
Legal intervention involving injury by machine gun, suspect injured;Nondisplaced oblique fracture of shaft of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;;True;7269;0;2
Hallucinogen dependence, uncomplicated;Burn of third degree of chin;2023-12-09T00:00:00.0000000+01:00;True;54608;1;3
Corrosion of unspecified degree of left foot, initial encounter;Ischemic optic neuropathy, unspecified eye;;False;4224;4;1
Cannabis use, unspecified with intoxication delirium;Spontaneous ecchymoses;;False;77128;2;0
Laceration without foreign body of right cheek and temporomandibular area, sequela;Burn of first degree of back of left hand;;True;18692;4;4
Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), initial encounter;Asphyxiation due to smothering under pillow, assault, subsequent encounter;;False;11425;0;4
Unspecified displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with malunion;Unspecified open wound of trachea, subsequent encounter;2023-09-12T00:00:00.0000000+02:00;True;20180;4;1
Bather struck by nonpowered watercraft, subsequent encounter;Other open wound of other specified part of neck, initial encounter;2024-02-01T00:00:00.0000000+01:00;True;38309;1;0
Contact with unspecified agricultural machinery, subsequent encounter;Displaced fracture of proximal phalanx of unspecified finger, subsequent encounter for fracture with nonunion;2023-08-09T00:00:00.0000000+02:00;True;4816;0;0
Unspecified open wound of left lesser toe(s) with damage to nail;Amputation of limb(s) as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure;;False;50793;4;4
Burn of unspecified degree of multiple sites of right shoulder and upper limb, except wrist and hand, sequela;Nondisplaced segmental fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;2024-02-08T00:00:00.0000000+01:00;False;36140;2;4
Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs;Toxic effect of other specified inorganic substances, accidental (unintentional), sequela;;True;72009;2;4
Fracture of cuboid bone;Poisoning by, adverse effect of and underdosing of predominantly beta-adrenoreceptor agonists;;False;58043;2;1
Unspecified injury of left Achilles tendon, initial encounter;Dermatophytosis;2023-12-11T00:00:00.0000000+01:00;True;1669;4;2
Benign neoplasm of unspecified site of orbit;Toxic effect of other ingested (parts of) plant(s), accidental (unintentional), subsequent encounter;;False;10851;3;4
Corrosion of unspecified degree of right forearm, subsequent encounter;Jumping or diving into unspecified water causing other injury, sequela;;False;43571;3;4
Other mechanical complication of implanted electronic neurostimulator, generator, sequela;Preterm labor with preterm delivery, unspecified trimester, fetus 4;;True;27493;1;4
Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in traffic accident, initial encounter;Underdosing of unspecified antidepressants;2024-08-08T00:00:00.0000000+02:00;False;16970;0;4
Ophiasis;Wedge compression fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing;2024-11-03T00:00:00.0000000+01:00;True;20945;2;1
Nondisplaced subtrochanteric fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC;Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral;2023-03-09T00:00:00.0000000+01:00;True;28584;3;1
Injury of olfactory [1st ] nerve, right side, sequela;Follicular lymphoma grade I, intrathoracic lymph nodes;2024-02-09T00:00:00.0000000+01:00;True;28052;4;4
Nondisplaced fracture of lesser trochanter of unspecified femur;Displaced transverse fracture of shaft of unspecified tibia, initial encounter for closed fracture;2024-09-05T00:00:00.0000000+02:00;False;5276;3;3
Person injured while boarding or alighting from special agricultural vehicle, subsequent encounter;Sprain of jaw, left side, sequela;;True;18853;2;2
Congenital occlusion of ureterovesical orifice;Burn of second degree of unspecified foot, subsequent encounter;;False;47507;1;1
Infective myositis, unspecified foot;Displaced fracture of trapezoid [smaller multangular], unspecified wrist, initial encounter for closed fracture;2024-10-01T00:00:00.0000000+02:00;False;20638;4;0
Open bite of unspecified front wall of thorax with penetration into thoracic cavity, sequela;Dislocation of unspecified parts of left shoulder girdle, subsequent encounter;2024-01-07T00:00:00.0000000+01:00;True;75526;1;1
Abnormal and inconclusive findings on diagnostic imaging of breast;Burn of first degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter;;True;11115;3;0
Laceration of intercostal blood vessels, left side;Nondisplaced transverse fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion;2024-07-01T00:00:00.0000000+02:00;False;83373;1;2
Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion;Superficial frostbite of other sites, subsequent encounter;;True;50407;3;2
Disorders of ketone metabolism;Oligohydramnios, unspecified trimester, fetus 5;;False;81004;2;0
Infestation, unspecified;Other specified disorders of penis;;True;86044;4;2
Open bite of left cheek and temporomandibular area, sequela;Burn of unspecified degree of hand, unspecified site;2023-11-10T00:00:00.0000000+01:00;False;24170;3;0
Contusion of scrotum and testes, sequela;Burn of second degree of unspecified axilla, subsequent encounter;;True;14056;3;1
Miotic pupillary cyst, left eye;Colles' fracture of right radius, subsequent encounter for open fracture type I or II with delayed healing;;True;15722;0;2
Other secondary chronic gout, shoulder;Contact with nonvenomous frogs, sequela;;True;14429;1;4
Injury of unspecified nerve at ankle and foot level, left leg, initial encounter;Telogen effluvium;;True;69793;3;3
Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear;Cysts of eyelid;2024-02-04T00:00:00.0000000+01:00;False;22865;0;4
Burn of unspecified degree of unspecified site of unspecified lower limb, except ankle and foot, subsequent encounter;Circadian rhythm sleep disorder, jet lag type;;True;58244;4;3
Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with malunion;Disseminated histoplasmosis capsulati;2024-06-02T00:00:00.0000000+02:00;False;65121;2;3
Nondisplaced spiral fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with routine healing;Other fracture of shaft of right tibia, initial encounter for closed fracture;;False;23668;4;4
Displaced oblique fracture of shaft of left tibia, subsequent encounter for closed fracture with nonunion;Strain of flexor muscle, fascia and tendon of right middle finger at forearm level, initial encounter;2023-04-11T00:00:00.0000000+02:00;False;23148;1;4
Hyponasality;Barton's fracture of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;;False;44219;0;3
Chorioretinal inflammation;Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter;;False;14417;4;4
Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing;Obturator dislocation of unspecified hip, initial encounter;;False;76569;0;3
Embryonic cyst of fallopian tube;Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye;2024-12-01T00:00:00.0000000+01:00;True;58240;4;1
Other transitory neonatal endocrine disorders;Laceration with foreign body of right middle finger with damage to nail, initial encounter;;True;6785;1;2
Displaced transverse fracture of shaft of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing;Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC;2023-06-11T00:00:00.0000000+02:00;False;70257;2;3
Osteopathy in diseases classified elsewhere, unspecified ankle and foot;Other specified injury of unspecified blood vessel at hip and thigh level;2024-05-05T00:00:00.0000000+02:00;False;38702;2;3
Burn with resulting rupture and destruction of left eyeball, sequela;Monoarthritis, not elsewhere classified, unspecified knee;2023-04-10T00:00:00.0000000+02:00;True;25125;1;4
Longitudinal reduction defect of right tibia;Neoplasm of unspecified behavior of unspecified site;2024-07-08T00:00:00.0000000+02:00;False;80834;3;1
Crushing injury of unspecified hand;Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter;;True;2612;4;1
Salter-Harris Type I physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with delayed healing;Displaced fracture of unspecified tibial spine, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion;2024-12-08T00:00:00.0000000+01:00;False;19338;1;3
Contusion of other specified intrathoracic organs;Unspecified foreign body in larynx causing other injury, sequela;;False;4031;1;4
Nondisplaced fracture of coracoid process, unspecified shoulder, subsequent encounter for fracture with delayed healing;Viral agents as the cause of diseases classified elsewhere;2024-07-08T00:00:00.0000000+02:00;True;3480;3;0
Traumatic rupture of unspecified ligament of left wrist, sequela;Intermittent hydrarthrosis, unspecified knee;2024-06-07T00:00:00.0000000+02:00;False;20718;1;2
Nondisplaced fracture of distal phalanx of right middle finger;Displaced fracture of unspecified tibial spine, initial encounter for closed fracture;;True;21300;0;0
Iris atrophy (essential) (progressive), bilateral;Other dislocation of left radial head, initial encounter;;False;84574;2;0
Prosthetic and other implants, materials and accessory anesthesiology devices associated with adverse incidents;Family history of blindness and visual loss;2023-11-09T00:00:00.0000000+01:00;False;47724;2;3
Legal intervention involving other gas;Injury of prostate;2024-08-04T00:00:00.0000000+02:00;False;233;1;4
Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated;Type III traumatic spondylolisthesis of second cervical vertebra;2024-11-08T00:00:00.0000000+01:00;False;16110;4;3
Military operations involving explosion of sea-based artillery shell, military personnel, subsequent encounter;Bather struck by powered watercraft, initial encounter;;True;39155;4;4
Cerebral infarction due to thrombosis of carotid artery;Military firearm discharge, undetermined intent;;True;72263;4;2
Other specified fracture of left pubis, subsequent encounter for fracture with delayed healing;Laceration of other specified blood vessels at shoulder and upper arm level, right arm;2024-06-02T00:00:00.0000000+02:00;False;688;1;1
Solitary bone cyst, humerus;Nondisplaced fracture of middle third of navicular [scaphoid] bone of right wrist, initial encounter for closed fracture;;True;73875;1;4
Other infective (teno)synovitis, unspecified ankle and foot;Corrosion of unspecified degree of multiple sites of unspecified wrist and hand;2024-11-01T00:00:00.0000000+01:00;True;54446;1;0
Shock due to being struck by lightning, sequela;Displaced segmental fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;;False;67772;4;3
Collapsed vertebra, not elsewhere classified, site unspecified, subsequent encounter for fracture with routine healing;Bilateral femoral hernia, with gangrene, recurrent;;False;70045;2;0
Traumatic rupture of palmar ligament of left ring finger at metacarpophalangeal and interphalangeal joint, initial encounter;Chilblains, initial encounter;;True;39378;0;2
Twin pregnancy;Displaced fracture of lateral condyle of unspecified tibia, sequela;;False;52783;2;4
Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles;Puncture wound without foreign body of lower back and pelvis with penetration into retroperitoneum;2024-05-02T00:00:00.0000000+02:00;False;39058;4;0
Strain of muscle and tendon of head, subsequent encounter;Toxic effect of nitrogen oxides, accidental (unintentional), subsequent encounter;;False;15479;3;2
Other infective otitis externa, left ear;Other soft tissue disorders related to use, overuse and pressure;2024-12-05T00:00:00.0000000+01:00;True;49228;4;4
Explosion on board passenger ship, initial encounter;Unspecified mental disorder due to known physiological condition;2023-08-09T00:00:00.0000000+02:00;True;24254;3;3
Contact blepharoconjunctivitis, right eye;Drowning and submersion due to merchant ship sinking, sequela;;False;21782;3;3
Jumping or diving into other water striking water surface causing drowning and submersion, initial encounter;Other and unspecified injuries of lung;2024-01-09T00:00:00.0000000+01:00;False;75082;0;3
Other specified injury of superficial palmar arch of left hand, initial encounter;Nondisplaced fracture of pisiform, left wrist, subsequent encounter for fracture with nonunion;;True;3881;0;3
Absent nipple;Fracture of unspecified phalanx of left middle finger;2024-09-08T00:00:00.0000000+02:00;False;62328;1;2
Laceration with foreign body of unspecified toe(s) without damage to nail, subsequent encounter;Myelodysplastic disease, not classified;;False;39750;0;3
Open bite of right buttock, sequela;Other chorea;2024-01-02T00:00:00.0000000+01:00;False;68655;1;0
Wedge compression fracture of fourth thoracic vertebra;Uterine size-date discrepancy, third trimester;;True;6773;4;4
Transient synovitis, left shoulder;Unspecified occupant of three-wheeled motor vehicle injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter;;True;41457;0;1
Nontraumatic ischemic infarction of muscle, left forearm;Exposure to unspecified man-made visible and ultraviolet light, sequela;;False;39684;3;3
Unspecified hang-glider accident injuring occupant, subsequent encounter;Nondisplaced fracture of medial condyle of left humerus, subsequent encounter for fracture with nonunion;2024-01-09T00:00:00.0000000+01:00;False;41186;1;2
Paresis of accommodation, right eye;Other female intestinal-genital tract fistulae;2023-09-10T00:00:00.0000000+02:00;True;44190;1;4
Fall from or off toilet with subsequent striking against object, sequela;Unilateral osteoarthritis resulting from hip dysplasia;;True;56686;0;2
Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter;Fracture of coronoid process of mandible, unspecified side, subsequent encounter for fracture with delayed healing;2024-06-04T00:00:00.0000000+02:00;False;41546;4;3
Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion;Contact with scissors, initial encounter;;False;42911;1;3
Unspecified motorcycle rider injured in collision with unspecified motor vehicles in nontraffic accident, sequela;Thiamine deficiency;2024-08-02T00:00:00.0000000+02:00;False;66784;1;3
Contusion of ovary, unspecified;Displaced fracture of lower epiphysis (separation) of right femur, subsequent encounter for open fracture type I or II with delayed healing;;False;43747;3;0
